UNIQID	NAME	US14702370_16000437000427_S01_A02.txt	US14702370_16000437000427_S01_A01.txt	US14702370_16000437000426_S01_A02.txt	US14702370_16000437000426_S01_A01.txt
AJ245539.2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)	-1.6736637785504356	2.075982490122244	-0.9273029399754277	1.446908966793424
AB029037.3	trophinin	-0.44295917988466044	0.04847789326711984	-0.3255961246779089	0.08433611389457178
U11050.6	NIMA (never in mitosis gene a)-related kinase 2	-0.8922267012215122	1.1140717032542797	-0.5980699684192362	0.9246586852118973
AJ005791.8	serine/threonine kinase 16	0.6802445037024648	-0.5315483583191164	-0.47323191061336894	0.2785077939328806
U16954.10	ALL1-fused gene from chromosome 1q	-0.5518121196979295	-0.6181211263999762	-1.4317510088964531	-0.6457030953718258
AK026571.12	Homo sapiens cDNA: FLJ22918 fis, clone KAT06627	-1.1119357034892672	-0.6563930599811735	-1.5763246415140462	-0.2647905562506621
S78187.13	cell division cycle 25B	1.6086503238053955	0.9614091757256361	1.43479389503137	0.9111151843690416
AL117493.14	Human mRNA; cDNA DKFZp434A1635 (from clone DKFZp434A1635).	-0.56536558632507	1.941261696234087	-0.40630170335757837	0.8661960726699746
AF006043.15	phosphoglycerate dehydrogenase	1.6313490584777606	0.6968541441769015	0.932900388815313	0.7420124346988003
D38037.17	FK506-binding protein 1B (12.6 kD)	-0.1305012808220309	-0.6893465866824561	-0.625176901673517	-0.14541673796807542
AF176518.20	f-box and leucine-rich repeat protein 2	-0.3942198508764731	0.715300810887811	-0.42873136185425803	0.31424177444958395
U64791.25	Golgi apparatus protein 1	1.457947733852735	-0.7064179751620824	0.779241282858203	-0.5214795942635131
AB002370.30	KIAA0372 gene product	-0.1494764662928371	0.3943327964316992	-0.23351227788763132	0.22277381312809838
U57627.33	oculocerebrorenal syndrome of Lowe	-0.09398897255269567	-0.13887287181395672	-0.43838820682609553	-0.16637910082524301
X87843.40	menage a trois 1 (CAK assembly factor)	0.21338471556070865	-0.36908614291055536	-0.36125635839090575	-0.1562781140671191
M14603.42	Human myoglobin gene, exon 3.	1.2920340351535857	-0.8432548372466824	0.5531342470796947	-0.17626648760686572
Y12642.44	lymphocyte antigen 6 complex, locus D	0.9030130017456114	0.34112215220779346	0.06143540599403734	0.4014583321952325
M80254.45	peptidylprolyl isomerase F (cyclophilin F)	2.128997140588552	1.099528302054863	0.8573929632185231	0.8255423166447432
M75883.46	sterol carrier protein 2	0.6387901630063653	0.5864398981590354	-0.09566189554128089	0.70485999088558
AAD04329.47	zinc finger protein 106	-0.20236355472030085	0.6360063872628497	-0.264768631525236	0.04882736010270185
